Resume_ID,Branch,Specialization,CGPA,Extracted_Keywords,Job_Role,Match_Percentage
R01600,Artificial Intelligence,Natural Language Processing,8.55,"Spring Boot, Microservices, REST APIs, Java",Backend Developer,75
R01601,Artificial Intelligence,Natural Language Processing,7.28,"Transformers, Hugging Face, Text Mining, NLP",NLP Engineer,88
R01602,Data Science,Data Engineering,9.26,"CI/CD, Kubernetes, Docker, Terraform",DevOps Engineer,85
R01603,MBA (Tech Mgmt),Product Management,7.57,"Terraform, Kubernetes, Docker",DevOps Engineer,65
R01604,Artificial Intelligence,Natural Language Processing,7.07,"Python, TensorFlow, Machine Learning",Data Scientist,94
R01605,MBA (Tech Mgmt),Digital Business,9.47,"SEO, Content Marketing, Google Analytics",Digital Marketing Exec,69
R01606,Mechanical,Product Design,8.74,"Kubernetes, AWS, Terraform, Docker, CI/CD",DevOps Engineer,92
R01607,Information Technology,Human-Computer Interaction,9.2,"Scrum, Roadmap Planning, Agile",Product Manager,86
R01608,Information Technology,Software Engineering,9.33,"Content Marketing, AdWords, Google Analytics",Digital Marketing Exec,83
R01609,MBA (Tech Mgmt),Digital Business,8.59,"TensorFlow, SQL, Machine Learning, Python",Data Scientist,85
R01610,Electrical,Embedded Systems,9.67,"AWS, Terraform, Kubernetes, CI/CD, Docker",DevOps Engineer,71
R01611,Mechanical,Automation,8.95,"Spring Boot, REST APIs, SQL, Microservices, Java",Backend Developer,89
R01612,Civil,Structural Engineering,7.4,"Manual Testing, Automation Testing, JUnit, Selenium",QA Engineer,65
R01613,Artificial Intelligence,Deep Learning,9.39,"Network Security, Penetration Testing, Ethical Hacking, Firewalls, SIEM",Cybersecurity Analyst,99
R01614,Data Science,Big Data,8.91,"JavaScript, CSS, HTML, React",Frontend Developer,81
R01615,Data Science,Business Analytics,7.78,"AdWords, Content Marketing, SEO, Google Analytics",Digital Marketing Exec,98
R01616,Computer Science,Machine Learning,8.31,"Microservices, Spring Boot, Java",Backend Developer,80
R01617,Computer Science,Machine Learning,9.56,"Scrum, Agile, Stakeholder Management",Product Manager,74
R01618,MBA (Tech Mgmt),Product Management,7.97,"Network Security, Penetration Testing, Ethical Hacking",Cybersecurity Analyst,71
R01619,Electrical,Control Systems,8.9,"Figma, Wireframing, UI/UX Design, User Research",UI/UX Designer,65
R01620,Information Technology,Web Development,8.89,"Manual Testing, Automation Testing, JUnit",QA Engineer,97
R01621,Data Science,Big Data,9.14,"Tableau, SQL, Power BI",Data Analyst,79
R01622,Computer Science,Software Engineering,8.41,"Wireframing, Prototyping, UI/UX Design",UI/UX Designer,77
R01623,Electrical,Embedded Systems,9.06,"Automation Testing, Manual Testing, JUnit, Selenium",QA Engineer,93
R01624,Electronics,VLSI Design,8.77,"AWS, Terraform, CI/CD, Kubernetes, Docker",DevOps Engineer,66
R01625,Civil,Construction Management,8.14,"Content Marketing, Google Analytics, AdWords",Digital Marketing Exec,84
R01626,Electronics,IoT & Cloud Systems,8.1,"Google Analytics, Content Marketing, AdWords, SEO",Digital Marketing Exec,71
R01627,Mechanical,Product Design,8.49,"Machine Learning, Python, Statistics, SQL",Data Scientist,90
R01628,Civil,Structural Engineering,7.84,"JavaScript, Redux, CSS, HTML",Frontend Developer,98
R01629,Mechanical,Automation,8.82,"Penetration Testing, Ethical Hacking, SIEM",Cybersecurity Analyst,70
R01630,Electronics,VLSI Design,7.11,"Firewalls, Ethical Hacking, SIEM, Network Security, Penetration Testing",Cybersecurity Analyst,86
R01631,Data Science,Business Analytics,9.0,"Express.js, MongoDB, Docker, React",Full Stack Developer,88
R01632,Electronics,IoT & Cloud Systems,8.55,"Microservices, Spring Boot, REST APIs",Backend Developer,69
R01633,MBA (Tech Mgmt),Digital Business,9.15,"Ethical Hacking, Penetration Testing, SIEM, Firewalls",Cybersecurity Analyst,96
R01634,Data Science,Data Engineering,8.06,"HTML, Redux, CSS, JavaScript",Frontend Developer,94
R01635,Civil,Construction Management,8.59,"Kubernetes, CI/CD, AWS",DevOps Engineer,91
R01636,Electrical,Embedded Systems,8.33,"Transformers, NLP, Hugging Face, Text Mining",NLP Engineer,83
R01637,Information Technology,Data Analytics,9.5,"SQL, Python, Machine Learning, TensorFlow, Statistics",Data Scientist,92
R01638,Mechanical,Product Design,8.41,"RTOS, C++, ARM, Embedded Systems, IoT",Embedded Engineer,76
R01639,Information Technology,Data Analytics,8.75,"TensorFlow, SQL, Python, Machine Learning, Statistics",Data Scientist,85
R01640,Electrical,Power Systems,9.06,"Penetration Testing, Network Security, Ethical Hacking, SIEM, Firewalls",Cybersecurity Analyst,89
R01641,Information Technology,Data Analytics,8.55,"Java, Spring Boot, REST APIs, SQL, Microservices",Backend Developer,73
R01642,Mechanical,Robotics,8.95,"Hugging Face, Python, Text Mining, NLP",NLP Engineer,91
R01643,Civil,Structural Engineering,8.87,"GCP, Azure, AWS, Cloud Security",Cloud Engineer,75
R01644,Information Technology,Data Analytics,8.09,"Transformers, Text Mining, NLP, Python, Hugging Face",NLP Engineer,71
R01645,Data Science,Business Analytics,7.53,"SQL, Microservices, REST APIs, Java",Backend Developer,87
R01646,Computer Science,Software Engineering,8.18,"Python, Transformers, NLP, Hugging Face, Text Mining",NLP Engineer,73
R01647,Artificial Intelligence,Deep Learning,8.49,"User Research, Prototyping, Figma, Wireframing, UI/UX Design",UI/UX Designer,86
R01648,MBA (Tech Mgmt),Product Management,9.38,"Automation Testing, Selenium, Manual Testing, JUnit",QA Engineer,73
R01649,Computer Science,Artificial Intelligence,8.89,"Cloud Security, GCP, Kubernetes, Azure",Cloud Engineer,77
R01650,MBA (Tech Mgmt),Operations Management,8.99,"Cloud Security, GCP, AWS",Cloud Engineer,94
R01651,Computer Science,Cybersecurity,7.67,"Figma, Prototyping, User Research",UI/UX Designer,87
R01652,MBA (Tech Mgmt),Digital Business,8.81,"Excel, Power BI, Data Visualization",Data Analyst,91
R01653,Electronics,VLSI Design,7.26,"Docker, React, Node.js, Express.js, MongoDB",Full Stack Developer,80
R01654,Mechanical,Product Design,8.66,"Content Marketing, AdWords, Google Analytics",Digital Marketing Exec,93
R01655,Mechanical,Robotics,7.32,"Wireframing, UI/UX Design, User Research, Prototyping",UI/UX Designer,72
R01656,Electrical,Power Systems,9.56,"Python, Machine Learning, Statistics",Data Scientist,96
R01657,Civil,Structural Engineering,8.83,"Selenium, Manual Testing, Automation Testing",QA Engineer,83
R01658,Civil,Structural Engineering,8.63,"Hugging Face, NLP, Python, Transformers",NLP Engineer,67
R01659,Electronics,Embedded Systems,7.34,"Python, SQL, Statistics, Machine Learning, TensorFlow",Data Scientist,95
R01660,Electronics,VLSI Design,9.18,"GCP, Kubernetes, Cloud Security, Azure, AWS",Cloud Engineer,84
R01661,Data Science,Big Data,8.4,"Docker, Node.js, Express.js, React",Full Stack Developer,79
R01662,Artificial Intelligence,Natural Language Processing,7.3,"AWS, Kubernetes, Terraform, CI/CD, Docker",DevOps Engineer,85
R01663,Mechanical,Robotics,9.36,"SEO, Google Analytics, Content Marketing",Digital Marketing Exec,71
R01664,Electronics,IoT & Cloud Systems,9.21,"SQL, Statistics, Python, Machine Learning, TensorFlow",Data Scientist,100
R01665,Computer Science,Cloud Computing,8.25,"Cloud Security, Kubernetes, GCP",Cloud Engineer,66
R01666,Computer Science,Machine Learning,9.43,"Stakeholder Management, Agile, Roadmap Planning, Scrum",Product Manager,65
R01667,Electronics,IoT & Cloud Systems,7.01,"Machine Learning, Python, TensorFlow, Statistics, SQL",Data Scientist,78
R01668,Computer Science,Software Engineering,9.75,"Selenium, JUnit, Manual Testing, Automation Testing",QA Engineer,94
R01669,Electronics,VLSI Design,7.62,"Azure, AWS, Kubernetes",Cloud Engineer,80
R01670,Artificial Intelligence,Natural Language Processing,7.37,"Hugging Face, Text Mining, NLP, Transformers, Python",NLP Engineer,95
R01671,Artificial Intelligence,Deep Learning,7.29,"Power BI, Tableau, Excel, Data Visualization",Data Analyst,84
R01672,Information Technology,Web Development,9.13,"SQL, Tableau, Excel, Data Visualization",Data Analyst,83
R01673,MBA (Tech Mgmt),Digital Business,8.37,"CI/CD, Docker, Kubernetes, Terraform",DevOps Engineer,81
R01674,Computer Science,Cloud Computing,7.42,"SQL, TensorFlow, Python, Statistics, Machine Learning",Data Scientist,79
R01675,Data Science,Data Engineering,7.83,"Google Analytics, SEO, Content Marketing",Digital Marketing Exec,74
R01676,Mechanical,Product Design,9.68,"Terraform, Docker, AWS, CI/CD",DevOps Engineer,77
R01677,Data Science,Big Data,9.21,"Figma, UI/UX Design, Prototyping, Wireframing",UI/UX Designer,95
R01678,Civil,Construction Management,9.67,"GCP, AWS, Azure, Kubernetes, Cloud Security",Cloud Engineer,66
R01679,Information Technology,Data Analytics,9.29,"JavaScript, React, Redux, CSS",Frontend Developer,80
R01680,Mechanical,Product Design,9.13,"Tableau, Data Visualization, Excel",Data Analyst,98
R01681,Civil,Construction Management,9.37,"MongoDB, React, Docker, Express.js, Node.js",Full Stack Developer,69
R01682,Computer Science,Cybersecurity,9.57,"AWS, CI/CD, Kubernetes, Docker",DevOps Engineer,85
R01683,Data Science,Big Data,9.72,"AWS, Docker, CI/CD, Terraform",DevOps Engineer,90
R01684,Civil,Structural Engineering,8.94,"Kubernetes, Terraform, Docker, AWS",DevOps Engineer,69
R01685,Artificial Intelligence,Natural Language Processing,9.74,"Automation Testing, Selenium, JUnit, Manual Testing",QA Engineer,86
R01686,Data Science,Big Data,7.82,"Kubernetes, Azure, AWS, Cloud Security",Cloud Engineer,80
R01687,Information Technology,Data Analytics,8.93,"Terraform, CI/CD, AWS",DevOps Engineer,66
R01688,Electronics,IoT & Cloud Systems,7.87,"Data Visualization, SQL, Excel, Tableau, Power BI",Data Analyst,89
R01689,Artificial Intelligence,Computer Vision,9.49,"Automation Testing, JUnit, Manual Testing, Selenium",QA Engineer,90
R01690,Computer Science,Artificial Intelligence,7.71,"Kubernetes, Docker, CI/CD, AWS, Terraform",DevOps Engineer,77
R01691,Computer Science,Software Engineering,9.23,"Content Marketing, Google Analytics, AdWords",Digital Marketing Exec,94
R01692,Information Technology,Human-Computer Interaction,8.23,"ARM, IoT, C++, Embedded Systems, RTOS",Embedded Engineer,77
R01693,Mechanical,Product Design,8.22,"SQL, Power BI, Excel",Data Analyst,97
R01694,Information Technology,Data Analytics,9.61,"Cloud Security, Azure, AWS, Kubernetes",Cloud Engineer,79
R01695,Electrical,Embedded Systems,9.69,"SQL, Tableau, Excel, Power BI, Data Visualization",Data Analyst,97
R01696,Electrical,Power Systems,9.78,"JUnit, Selenium, Manual Testing, Automation Testing",QA Engineer,66
R01697,Mechanical,Product Design,9.14,"Embedded Systems, IoT, C++, ARM, RTOS",Embedded Engineer,80
R01698,Electrical,Embedded Systems,8.7,"Docker, Kubernetes, CI/CD, AWS, Terraform",DevOps Engineer,75
R01699,Artificial Intelligence,Deep Learning,8.19,"TensorFlow, Python, Statistics, Machine Learning",Data Scientist,69
R01700,Electrical,Control Systems,8.34,"JUnit, Manual Testing, Selenium",QA Engineer,67
R01701,Artificial Intelligence,Deep Learning,8.76,"Firewalls, Network Security, Ethical Hacking, Penetration Testing, SIEM",Cybersecurity Analyst,87
R01702,MBA (Tech Mgmt),Operations Management,8.63,"AWS, Kubernetes, CI/CD",DevOps Engineer,98
R01703,Artificial Intelligence,Natural Language Processing,8.24,"React, HTML, CSS",Frontend Developer,69
R01704,Mechanical,Automation,7.49,"SQL, Power BI, Data Visualization, Tableau",Data Analyst,94
R01705,Artificial Intelligence,Deep Learning,8.25,"ARM, IoT, RTOS",Embedded Engineer,78
R01706,Mechanical,Automation,8.31,"Data Visualization, Tableau, SQL, Excel",Data Analyst,66
R01707,Civil,Structural Engineering,8.37,"MongoDB, Docker, Express.js, React, Node.js",Full Stack Developer,86
R01708,Artificial Intelligence,Natural Language Processing,9.6,"Firewalls, Ethical Hacking, Network Security, Penetration Testing, SIEM",Cybersecurity Analyst,91
R01709,Civil,Construction Management,9.01,"Content Marketing, SEO, Google Analytics",Digital Marketing Exec,80
R01710,Artificial Intelligence,Computer Vision,7.5,"HTML, CSS, JavaScript",Frontend Developer,90
R01711,MBA (Tech Mgmt),Operations Management,8.7,"Redux, React, CSS",Frontend Developer,66
R01712,Information Technology,Web Development,9.2,"Docker, Kubernetes, AWS, Terraform, CI/CD",DevOps Engineer,93
R01713,Civil,Construction Management,8.05,"AWS, Kubernetes, GCP, Cloud Security",Cloud Engineer,80
R01714,Electronics,IoT & Cloud Systems,9.17,"Scrum, Stakeholder Management, Agile, Roadmap Planning",Product Manager,88
R01715,Mechanical,Robotics,7.96,"Manual Testing, Automation Testing, JUnit, Selenium",QA Engineer,95
R01716,Data Science,Business Analytics,8.88,"JavaScript, Redux, HTML",Frontend Developer,80
R01717,Electronics,IoT & Cloud Systems,8.76,"Kubernetes, AWS, Cloud Security",Cloud Engineer,69
R01718,MBA (Tech Mgmt),Product Management,8.1,"Wireframing, Figma, Prototyping",UI/UX Designer,88
R01719,Electronics,Embedded Systems,7.47,"IoT, C++, RTOS, ARM",Embedded Engineer,65
R01720,Electronics,IoT & Cloud Systems,7.43,"MongoDB, Node.js, Docker, React",Full Stack Developer,89
R01721,Civil,Structural Engineering,9.35,"JUnit, Automation Testing, Manual Testing, Selenium",QA Engineer,88
R01722,Artificial Intelligence,Computer Vision,7.98,"Python, Text Mining, Transformers, NLP, Hugging Face",NLP Engineer,93
R01723,Computer Science,Machine Learning,9.79,"CI/CD, Kubernetes, AWS, Docker",DevOps Engineer,81
R01724,Civil,Structural Engineering,8.67,"Text Mining, Python, NLP, Hugging Face",NLP Engineer,66
R01725,Electrical,Embedded Systems,8.71,"AWS, Docker, Kubernetes, CI/CD, Terraform",DevOps Engineer,74
R01726,Computer Science,Web Development,7.87,"Statistics, Machine Learning, Python",Data Scientist,83
R01727,Artificial Intelligence,Computer Vision,7.21,"Microservices, SQL, REST APIs, Spring Boot, Java",Backend Developer,81
R01728,Electronics,Embedded Systems,8.46,"React, Node.js, MongoDB",Full Stack Developer,80
R01729,Mechanical,Product Design,7.53,"AWS, Terraform, CI/CD",DevOps Engineer,86
R01730,Data Science,Big Data,8.41,"TensorFlow, SQL, Python, Statistics",Data Scientist,74
R01731,Mechanical,Automation,9.48,"Tableau, Power BI, Excel, SQL",Data Analyst,70
R01732,Electronics,VLSI Design,8.79,"Azure, GCP, AWS, Cloud Security",Cloud Engineer,94
R01733,Electronics,IoT & Cloud Systems,9.15,"Cloud Security, AWS, GCP",Cloud Engineer,100
R01734,Information Technology,Data Analytics,8.98,"Spring Boot, SQL, Microservices, Java, REST APIs",Backend Developer,89
R01735,Civil,Structural Engineering,7.66,"Scrum, Stakeholder Management, Agile, Roadmap Planning",Product Manager,77
R01736,MBA (Tech Mgmt),Digital Business,7.14,"JUnit, Automation Testing, Selenium",QA Engineer,90
R01737,Electrical,Control Systems,7.55,"Stakeholder Management, Roadmap Planning, Scrum, Agile",Product Manager,81
R01738,Artificial Intelligence,Computer Vision,7.99,"Embedded Systems, C++, RTOS",Embedded Engineer,78
R01739,Electrical,Embedded Systems,7.64,"Automation Testing, Manual Testing, Selenium, JUnit",QA Engineer,94
R01740,Data Science,Data Engineering,9.56,"Embedded Systems, ARM, RTOS, C++, IoT",Embedded Engineer,94
R01741,Data Science,Business Analytics,7.44,"Express.js, Node.js, React, Docker",Full Stack Developer,71
R01742,Information Technology,Human-Computer Interaction,8.28,"SQL, Excel, Tableau, Power BI, Data Visualization",Data Analyst,72
R01743,Civil,Structural Engineering,8.24,"JavaScript, Redux, HTML",Frontend Developer,90
R01744,MBA (Tech Mgmt),Product Management,8.99,"JavaScript, HTML, Redux, React",Frontend Developer,65
R01745,MBA (Tech Mgmt),Digital Business,7.16,"Agile, Roadmap Planning, Stakeholder Management",Product Manager,80
R01746,Electrical,Control Systems,8.17,"Ethical Hacking, Penetration Testing, Network Security, SIEM",Cybersecurity Analyst,95
R01747,Artificial Intelligence,Computer Vision,7.02,"Wireframing, UI/UX Design, Prototyping, Figma",UI/UX Designer,68
R01748,Civil,Structural Engineering,7.62,"CI/CD, Docker, Terraform, AWS",DevOps Engineer,93
R01749,Information Technology,Data Analytics,9.47,"Machine Learning, Python, TensorFlow",Data Scientist,97
R01750,Mechanical,Product Design,8.33,"JUnit, Manual Testing, Selenium",QA Engineer,81
R01751,Data Science,Data Engineering,8.09,"Python, Hugging Face, Transformers",NLP Engineer,83
R01752,Artificial Intelligence,Natural Language Processing,9.52,"AWS, GCP, Cloud Security, Azure",Cloud Engineer,83
R01753,Mechanical,Robotics,9.07,"IoT, ARM, RTOS",Embedded Engineer,86
R01754,Electronics,IoT & Cloud Systems,7.9,"Java, Spring Boot, SQL, REST APIs",Backend Developer,95
R01755,MBA (Tech Mgmt),Product Management,7.06,"Excel, Tableau, Power BI, SQL, Data Visualization",Data Analyst,94
R01756,MBA (Tech Mgmt),Operations Management,7.78,"AWS, CI/CD, Kubernetes, Docker",DevOps Engineer,83
R01757,Computer Science,Cybersecurity,9.32,"Machine Learning, Statistics, SQL, TensorFlow, Python",Data Scientist,77
R01758,Artificial Intelligence,Natural Language Processing,7.16,"CI/CD, Terraform, Docker, AWS",DevOps Engineer,85
R01759,Electronics,Embedded Systems,7.16,"Redux, JavaScript, CSS, HTML",Frontend Developer,70
R01760,Artificial Intelligence,Deep Learning,8.78,"Azure, Kubernetes, GCP",Cloud Engineer,81
R01761,Civil,Construction Management,9.35,"Python, Statistics, SQL, TensorFlow",Data Scientist,88
R01762,Information Technology,Web Development,8.61,"Ethical Hacking, Network Security, Penetration Testing, SIEM, Firewalls",Cybersecurity Analyst,97
R01763,Computer Science,Software Engineering,9.64,"GCP, Kubernetes, Cloud Security, Azure",Cloud Engineer,66
R01764,Information Technology,Web Development,7.31,"Terraform, Kubernetes, CI/CD, AWS, Docker",DevOps Engineer,88
R01765,Mechanical,Product Design,8.54,"Roadmap Planning, Stakeholder Management, Scrum",Product Manager,96
R01766,Mechanical,Automation,8.55,"Node.js, Express.js, Docker, React",Full Stack Developer,81
R01767,Mechanical,Product Design,8.63,"JUnit, Manual Testing, Selenium, Automation Testing",QA Engineer,90
R01768,Artificial Intelligence,Natural Language Processing,8.2,"Figma, User Research, Prototyping",UI/UX Designer,72
R01769,Civil,Construction Management,9.48,"SQL, Machine Learning, Python, Statistics",Data Scientist,88
R01770,Electrical,Embedded Systems,7.37,"SQL, Tableau, Excel, Power BI, Data Visualization",Data Analyst,96
R01771,Civil,Construction Management,7.91,"AWS, GCP, Kubernetes, Azure, Cloud Security",Cloud Engineer,75
R01772,MBA (Tech Mgmt),Product Management,8.78,"Embedded Systems, C++, ARM",Embedded Engineer,71
R01773,MBA (Tech Mgmt),Operations Management,9.5,"Automation Testing, Manual Testing, Selenium, JUnit",QA Engineer,97
R01774,Civil,Construction Management,9.57,"Data Visualization, SQL, Excel, Tableau",Data Analyst,92
R01775,Electronics,Embedded Systems,9.6,"CI/CD, Kubernetes, Terraform, AWS",DevOps Engineer,65
R01776,Data Science,Big Data,8.56,"JavaScript, Redux, CSS",Frontend Developer,69
R01777,Data Science,Business Analytics,9.08,"Data Visualization, SQL, Tableau, Power BI",Data Analyst,96
R01778,Electrical,Control Systems,8.68,"Embedded Systems, ARM, C++, RTOS, IoT",Embedded Engineer,81
R01779,Mechanical,Product Design,8.38,"Node.js, React, Docker, MongoDB, Express.js",Full Stack Developer,79
R01780,Artificial Intelligence,Computer Vision,7.61,"Redux, JavaScript, HTML",Frontend Developer,99
R01781,Artificial Intelligence,Natural Language Processing,9.69,"REST APIs, Microservices, SQL",Backend Developer,73
R01782,Civil,Structural Engineering,7.16,"Python, Transformers, Hugging Face, Text Mining",NLP Engineer,75
R01783,Data Science,Big Data,8.06,"Machine Learning, TensorFlow, SQL, Python",Data Scientist,96
R01784,MBA (Tech Mgmt),Operations Management,7.51,"MongoDB, Express.js, React, Docker",Full Stack Developer,98
R01785,Mechanical,Product Design,7.91,"Transformers, Python, NLP, Text Mining",NLP Engineer,73
R01786,Electrical,Control Systems,7.04,"Agile, Roadmap Planning, Stakeholder Management, Scrum",Product Manager,72
R01787,Electrical,Control Systems,7.05,"Python, Statistics, TensorFlow, SQL",Data Scientist,98
R01788,Electronics,Embedded Systems,8.4,"Stakeholder Management, Roadmap Planning, Agile, Scrum",Product Manager,83
R01789,Information Technology,Data Analytics,7.54,"Redux, HTML, React, JavaScript, CSS",Frontend Developer,81
R01790,Computer Science,Machine Learning,7.43,"Text Mining, NLP, Python, Hugging Face",NLP Engineer,88
R01791,Mechanical,Robotics,8.72,"C++, Embedded Systems, ARM, RTOS, IoT",Embedded Engineer,88
R01792,Electronics,IoT & Cloud Systems,8.33,"Redux, HTML, JavaScript",Frontend Developer,73
R01793,Civil,Structural Engineering,9.79,"SQL, Microservices, Spring Boot, Java, REST APIs",Backend Developer,82
R01794,Mechanical,Robotics,9.29,"Redux, CSS, HTML, JavaScript",Frontend Developer,68
R01795,MBA (Tech Mgmt),Digital Business,8.77,"HTML, JavaScript, Redux",Frontend Developer,91
R01796,Electrical,Power Systems,8.56,"Hugging Face, NLP, Python, Text Mining, Transformers",NLP Engineer,90
R01797,Artificial Intelligence,Natural Language Processing,7.59,"Content Marketing, SEO, AdWords, Google Analytics",Digital Marketing Exec,88
R01798,Electrical,Power Systems,8.84,"REST APIs, Microservices, Spring Boot, Java, SQL",Backend Developer,89
R01799,Electrical,Power Systems,8.22,"Roadmap Planning, Stakeholder Management, Scrum, Agile",Product Manager,94
R01800,Electrical,Control Systems,7.02,"Automation Testing, Selenium, Manual Testing, JUnit",QA Engineer,90
R01801,MBA (Tech Mgmt),Product Management,8.89,"Kubernetes, Terraform, CI/CD, AWS",DevOps Engineer,75
R01802,Mechanical,Automation,9.19,"JUnit, Automation Testing, Selenium, Manual Testing",QA Engineer,81
R01803,Mechanical,Robotics,9.3,"JUnit, Selenium, Automation Testing, Manual Testing",QA Engineer,95
R01804,MBA (Tech Mgmt),Product Management,7.75,"JavaScript, Redux, HTML, React",Frontend Developer,90
R01805,MBA (Tech Mgmt),Operations Management,8.88,"AdWords, Google Analytics, SEO, Content Marketing",Digital Marketing Exec,82
R01806,Electronics,IoT & Cloud Systems,9.07,"Node.js, Express.js, Docker, React",Full Stack Developer,98
R01807,Mechanical,Automation,9.35,"Python, Transformers, Text Mining, Hugging Face, NLP",NLP Engineer,77
R01808,Electronics,IoT & Cloud Systems,8.04,"Express.js, Node.js, React",Full Stack Developer,81
R01809,Information Technology,Web Development,7.81,"React, Node.js, Express.js",Full Stack Developer,80
R01810,Computer Science,Cloud Computing,7.7,"AWS, Cloud Security, GCP, Kubernetes, Azure",Cloud Engineer,71
R01811,Electronics,VLSI Design,9.18,"CI/CD, Kubernetes, AWS, Docker",DevOps Engineer,83
R01812,Information Technology,Human-Computer Interaction,7.54,"Text Mining, Python, Transformers, Hugging Face, NLP",NLP Engineer,81
R01813,Civil,Structural Engineering,8.48,"SEO, AdWords, Content Marketing",Digital Marketing Exec,87
R01814,Artificial Intelligence,Natural Language Processing,7.16,"SIEM, Ethical Hacking, Firewalls, Network Security, Penetration Testing",Cybersecurity Analyst,76
R01815,Data Science,Business Analytics,8.61,"Terraform, Kubernetes, Docker",DevOps Engineer,75
R01816,MBA (Tech Mgmt),Operations Management,8.03,"Ethical Hacking, Network Security, Firewalls",Cybersecurity Analyst,83
R01817,Electronics,Embedded Systems,9.49,"Docker, AWS, CI/CD",DevOps Engineer,68
R01818,MBA (Tech Mgmt),Digital Business,7.42,"TensorFlow, Machine Learning, Python, SQL, Statistics",Data Scientist,68
R01819,Artificial Intelligence,Computer Vision,7.96,"Docker, React, Express.js, MongoDB",Full Stack Developer,89
R01820,Artificial Intelligence,Computer Vision,9.01,"Statistics, Machine Learning, Python, TensorFlow",Data Scientist,95
R01821,Civil,Construction Management,7.26,"RTOS, IoT, C++, ARM",Embedded Engineer,76
R01822,Civil,Structural Engineering,9.18,"Hugging Face, Transformers, Text Mining, NLP, Python",NLP Engineer,85
R01823,Civil,Structural Engineering,7.77,"SQL, Machine Learning, Python, Statistics, TensorFlow",Data Scientist,83
R01824,Mechanical,Robotics,8.95,"Microservices, Spring Boot, REST APIs, Java, SQL",Backend Developer,83
R01825,Electronics,IoT & Cloud Systems,9.63,"Prototyping, UI/UX Design, User Research, Wireframing",UI/UX Designer,87
R01826,Artificial Intelligence,Natural Language Processing,7.96,"GCP, Cloud Security, AWS, Azure",Cloud Engineer,69
R01827,Data Science,Big Data,9.14,"AdWords, Google Analytics, SEO, Content Marketing",Digital Marketing Exec,67
R01828,Electrical,Power Systems,7.85,"Tableau, Data Visualization, SQL",Data Analyst,93
R01829,Civil,Structural Engineering,9.74,"SEO, Content Marketing, AdWords, Google Analytics",Digital Marketing Exec,96
R01830,Data Science,Big Data,7.24,"Machine Learning, Statistics, Python, SQL, TensorFlow",Data Scientist,79
R01831,Electronics,Embedded Systems,9.03,"RTOS, C++, ARM",Embedded Engineer,67
R01832,Electronics,VLSI Design,7.3,"Figma, Prototyping, User Research",UI/UX Designer,71
R01833,Civil,Construction Management,9.04,"Java, Spring Boot, REST APIs, SQL, Microservices",Backend Developer,94
R01834,Computer Science,Cloud Computing,7.78,"SQL, Python, Machine Learning",Data Scientist,79
R01835,Electrical,Embedded Systems,7.17,"Ethical Hacking, Network Security, Firewalls, Penetration Testing",Cybersecurity Analyst,93
R01836,MBA (Tech Mgmt),Operations Management,8.93,"Power BI, Excel, SQL, Data Visualization",Data Analyst,98
R01837,Electronics,VLSI Design,7.97,"AdWords, Google Analytics, Content Marketing, SEO",Digital Marketing Exec,85
R01838,MBA (Tech Mgmt),Digital Business,8.25,"Express.js, MongoDB, React",Full Stack Developer,86
R01839,MBA (Tech Mgmt),Operations Management,8.17,"Firewalls, Penetration Testing, Network Security",Cybersecurity Analyst,78
R01840,Data Science,Data Engineering,8.46,"Agile, Scrum, Roadmap Planning",Product Manager,100
R01841,Computer Science,Cloud Computing,8.72,"Penetration Testing, Firewalls, SIEM, Ethical Hacking, Network Security",Cybersecurity Analyst,95
R01842,Information Technology,Human-Computer Interaction,9.21,"GCP, AWS, Azure, Kubernetes, Cloud Security",Cloud Engineer,83
R01843,Computer Science,Cloud Computing,7.67,"Stakeholder Management, Roadmap Planning, Agile, Scrum",Product Manager,74
R01844,Computer Science,Artificial Intelligence,7.3,"Redux, CSS, React, JavaScript, HTML",Frontend Developer,76
R01845,Data Science,Business Analytics,7.35,"Content Marketing, Google Analytics, SEO, AdWords",Digital Marketing Exec,70
R01846,Artificial Intelligence,Computer Vision,9.79,"AWS, Kubernetes, Terraform, CI/CD, Docker",DevOps Engineer,98
R01847,Data Science,Big Data,7.43,"ARM, Embedded Systems, IoT, C++",Embedded Engineer,71
R01848,Information Technology,Human-Computer Interaction,7.91,"Excel, Data Visualization, Power BI, SQL, Tableau",Data Analyst,73
R01849,Civil,Construction Management,8.92,"Express.js, MongoDB, Node.js, React, Docker",Full Stack Developer,94
R01850,MBA (Tech Mgmt),Digital Business,7.64,"AWS, GCP, Kubernetes",Cloud Engineer,100
R01851,Artificial Intelligence,Computer Vision,8.46,"SEO, Google Analytics, AdWords, Content Marketing",Digital Marketing Exec,75
R01852,Computer Science,Web Development,8.28,"Java, SQL, REST APIs",Backend Developer,69
R01853,Data Science,Business Analytics,9.5,"SQL, Machine Learning, Python, TensorFlow",Data Scientist,83
R01854,Data Science,Business Analytics,9.18,"Network Security, Ethical Hacking, SIEM, Firewalls",Cybersecurity Analyst,74
R01855,MBA (Tech Mgmt),Digital Business,9.52,"Automation Testing, Selenium, JUnit",QA Engineer,70
R01856,Artificial Intelligence,Computer Vision,9.38,"RTOS, C++, Embedded Systems",Embedded Engineer,91
